5000,-141,141,157,8,149;
10000,-123,123,151,22,286;
15000,-125,125,153,36,425;
20000,-137,137,157,46,572;
25000,-127,127,155,60,713;
30000,-132,132,158,73,858;
35000,-112,112,142,88,985;
40000,-112,112,150,107,1116;
45000,-117,117,139,118,1244;
50000,-108,108,140,134,1368;
55000,-95,95,123,148,1477;
60000,-75,75,121,171,1575;
65000,-104,104,128,183,1691;
70000,-86,86,106,193,1787;
75000,-86,86,108,204,1884;
80000,-76,76,110,221,1977;
85000,-60,60,80,231,2047;
90000,-47,47,77,246,2109;
95000,-37,37,83,269,2169;
100000,-10,10,70,299,2209;
105000,-13,13,71,328,2251;
110000,-17,17,65,352,2292;
115000,-20,20,68,376,2336;
120000,-24,24,68,398,2382;
125000,-27,27,67,418,2429;
130000,-18,18,52,435,2464;
135000,-5,5,57,461,2495;
140000,-16,16,56,481,2531;
145000,-1,1,55,508,2559;
150000,-7,7,51,530,2588;
155000,-5,5,47,551,2614;
160000,1,-1,53,578,2640;
165000,11,-11,49,608,2659;
170000,2,-2,50,634,2683;
175000,1,-1,39,654,2702;
180000,13,-13,41,681,2716;
185000,7,-7,39,704,2732;
190000,-3,3,43,724,2755;
195000,13,-13,47,754,2772;
200000,11,-11,45,782,2789;
205000,3,-3,39,803,2807;
210000,13,-13,39,829,2820;
215000,7,-7,41,853,2837;
220000,11,-11,47,882,2855;
225000,7,-7,43,907,2873;
230000,-1,1,43,928,2895;
235000,11,-11,41,954,2910;
240000,21,-21,51,990,2925;
245000,6,-6,50,1018,2947;
250000,6,-6,40,1041,2964;
255000,11,-11,39,1066,2978;
260000,5,-5,41,1089,2996;
265000,5,-5,41,1112,3014;
270000,18,-18,34,1138,3022;
275000,12,-12,34,1161,3033;
280000,6,-6,34,1181,3047;
285000,7,-7,33,1201,3060;
290000,4,-4,42,1224,3079;
295000,15,-15,33,1248,3088;
300000,14,-14,40,1275,3101;
305000,11,-11,39,1300,3115;
310000,14,-14,36,1325,3126;
315000,11,-11,43,1352,3142;
320000,7,-7,33,1372,3155;
325000,14,-14,34,1396,3165;
330000,15,-15,37,1422,3176;
335000,12,-12,38,1447,3189;
340000,14,-14,36,1472,3200;
345000,20,-20,34,1499,3207;
350000,16,-16,36,1525,3217;
355000,10,-10,34,1547,3229;
360000,14,-14,44,1576,3244;
365000,2,-2,32,1593,3259;
370000,18,-18,34,1619,3267;
375000,13,-13,43,1647,3282;
380000,14,-14,38,1673,3294;
385000,13,-13,33,1696,3304;
390000,14,-14,38,1722,3316;
395000,18,-18,36,1749,3325;
400000,26,-26,36,1780,3330;
405000,9,-9,39,1804,3345;
410000,18,-18,42,1834,3357;
415000,2,-2,36,1853,3374;
420000,5,-5,37,1874,3390;
425000,9,-9,35,1896,3403;
430000,4,-4,38,1917,3420;
435000,27,-27,37,1949,3425;
440000,13,-13,33,1972,3435;
445000,11,-11,33,1994,3446;
450000,12,-12,36,2018,3458;
455000,13,-13,31,2040,3467;
460000,13,-13,35,2064,3478;
465000,15,-15,29,2086,3485;
470000,16,-16,34,2111,3494;
475000,20,-20,34,2138,3501;
480000,17,-17,33,2163,3509;
485000,12,-12,32,2185,3519;
490000,17,-17,35,2211,3528;
495000,8,-8,36,2233,3542;
500000,23,-23,35,2262,3548;
505000,4,-4,38,2283,3565;
